ENTRY	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	rfree	cons
1992:04	-0.06701	-0.02153	-0.02481	-0.02281	-0.01030	-0.01260	-0.001534	0.0007370	0.02458	0.03072	0.003073	0.997510
1992:05	-0.004385	0.01292	0.005225	0.009194	0.02704	0.006188	0.003449	-0.0003240	0.002629	0.006145	0.002976	0.997190
1992:06	-0.05122	-0.03265	-0.03536	-0.03121	-0.03110	-0.02328	-0.01293	-0.02392	-0.01060	-0.01519	0.003000	0.997110
1992:07	0.02329	0.01982	0.04107	0.03142	0.04166	0.03896	0.03358	0.05030	0.04056	0.04101	0.002636	1.001530
1992:08	-0.03064	-0.03712	-0.01781	-0.01874	-0.01952	-0.01751	-0.02595	-0.02025	-0.02020	-0.01860	0.002572	0.996400
1992:09	-0.002921	0.01230	0.006961	0.01330	0.01410	0.007643	0.01223	0.01510	0.02081	0.006357	0.002393	1.001160
1992:10	0.01560	0.008680	-0.003504	0.008200	0.02007	0.02902	0.02169	0.02805	0.01949	-0.0004770	0.002353	0.998080
1992:11	0.07533	0.04254	0.03882	0.03767	0.05178	0.04472	0.04446	0.04756	0.04635	0.02854	0.002572	0.999400
1992:12	0.04968	0.03651	0.02184	0.03058	0.02468	0.03025	0.03026	0.02912	0.01745	0.01031	0.002645	1.000830
1993:01	0.07085	0.03434	0.05279	0.04991	0.03854	0.02489	0.02818	0.02010	0.02555	0.001197	0.002466	0.996450
1993:02	0.003950	0.005987	0.02707	0.005430	0.01285	-0.003629	0.004651	0.006217	0.01026	0.01514	0.002410	0.996650
1993:03	0.03568	0.01450	0.02849	0.02159	0.03273	0.03403	0.04117	0.03853	0.03567	0.01856	0.002426	0.998890
1993:04	-0.004515	-0.01714	-0.01356	-0.01410	-0.01431	-0.02139	-0.01751	-0.02758	-0.01590	-0.02546	0.002361	0.997500
1993:05	0.04880	0.01221	0.02935	0.02556	0.01958	0.02398	0.03351	0.02628	0.02633	0.02318	0.002434	0.998890
1993:06	0.005406	-0.002178	0.0007760	0.009767	0.01438	0.008543	0.009639	0.01524	0.01066	0.002066	0.002523	1.001570
1993:07	0.04876	0.01155	0.01237	0.001886	0.01088	0.006340	-0.003616	0.008407	0.006657	-0.005079	0.002499	1.000860
1993:08	0.01341	0.02248	0.03787	0.03617	0.04710	0.03368	0.04759	0.04687	0.03964	0.03463	0.002482	0.999470
1993:09	0.003816	0.006231	0.01118	0.01993	0.01854	0.007533	0.006648	-0.001317	0.002036	-0.008758	0.002426	1.000590
1993:10	0.06593	0.03475	0.02678	0.01946	0.01266	0.009946	0.009909	0.007204	0.008539	0.01992	0.002482	0.997840
1993:11	-0.04216	-0.01352	-0.04358	-0.03327	-0.03739	-0.02826	-0.02653	-0.02832	-0.01666	-0.009100	0.002547	0.998530
